software,name,value,description,label
hadoop-common,hadoop.security.groups.cache.background.reload.threads,3,Only relevant if hadoop.security.groups.cache.background.reload is true. Controls the number of concurrent background user->group cache entry refreshes. Pending refresh requests beyond this value are queued and processed when a thread is free.,performance
hadoop-common,hadoop.security.groups.shell.command.timeout,0s,"Used by the ShellBasedUnixGroupsMapping class, this property controls how long to wait for the underlying shell command that is run to fetch groups. Expressed in seconds (e.g. 10s, 1m, etc.), if the running command takes longer than the value configured, the command is aborted and the groups resolver would return a result of no groups found. A value of 0s (default) would mean an infinite wait (i.e. wait until the command exits on its own).",reliability
hadoop-common,hadoop.security.group.mapping.ldap.connection.timeout.ms,60000,"This property is the connection timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't establish a connection within the specified period, it will abort the connect attempt. Non-positive value means no LDAP connection timeout is specified in which case it waits for the connection to establish until the underlying network times out.",reliability
hadoop-common,hadoop.security.group.mapping.ldap.read.timeout.ms,60000,"This property is the read timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't get a LDAP response within the specified period, it will abort the read attempt. Non-positive value means no read timeout is specified in which case it waits for the response infinitely.",reliability
hadoop-common,hadoop.security.group.mapping.ldap.url,,The URL of the LDAP server to use for resolving user groups when using the LdapGroupsMapping user to group mapping.,security
hadoop-common,hadoop.security.group.mapping.ldap.ssl,FALSE,Whether or not to use SSL when connecting to the LDAP server.,security
hadoop-common,hadoop.security.group.mapping.ldap.ssl.keystore,,File path to the SSL keystore that contains the SSL certificate required by the LDAP server.,environment
hadoop-common,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,,"The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.",security
hadoop-common,hadoop.security.group.mapping.ldap.ssl.keystore.password,,The password of the LDAP SSL keystore. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.,security
hadoop-common,hadoop.security.credential.clear-text-fallback,TRUE,true or false to indicate whether or not to fall back to storing credential password as clear text. The default value is true. This property only works when the password can't not be found from credential providers.,security
hadoop-common,hadoop.security.credential.provider.path,,A comma-separated list of URLs that indicates the type and location of a list of providers that should be consulted.,security
hadoop-common,hadoop.security.credstore.java-keystore-provider.password-file,,The path to a file containing the custom password for all keystores that may be configured in the provider path.,security
hadoop-common,hadoop.security.group.mapping.ldap.ssl.truststore,,File path to the SSL truststore that contains the root certificate used to sign the LDAP server's certificate. Specify this if the LDAP server's certificate is not signed by a well known certificate authority.,security
hadoop-common,hadoop.security.group.mapping.ldap.ssl.truststore.password.file,,The path to a file containing the password of the LDAP SSL truststore. IMPORTANT: This file should be readable only by the Unix user running the daemons.,security
hadoop-common,hadoop.security.group.mapping.ldap.bind.user,,The distinguished name of the user to bind as when connecting to the LDAP server. This may be left blank if the LDAP server supports anonymous binds.,security
hadoop-common,hadoop.security.group.mapping.ldap.bind.password.file,,"The path to a file containing the password of the bind user. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.bind.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.",security
hadoop-common,hadoop.security.group.mapping.ldap.bind.password,,The password of the bind user. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.,security
hadoop-common,hadoop.security.group.mapping.ldap.base,,"The search base for the LDAP connection. This is a distinguished name, and will typically be the root of the LDAP directory.",environment
hadoop-common,hadoop.security.group.mapping.ldap.userbase,,"The search base for the LDAP connection for user search query. This is a distinguished name, and its the root of the LDAP directory for users. If not set, hadoop.security.group.mapping.ldap.base is used.",environment
hadoop-common,hadoop.security.group.mapping.ldap.groupbase,,"The search base for the LDAP connection for group search . This is a distinguished name, and its the root of the LDAP directory for groups. If not set, hadoop.security.group.mapping.ldap.base is used.",environment
hadoop-common,hadoop.security.group.mapping.ldap.search.filter.user,(&(objectClass=user)(sAMAccountName={0})),"An additional filter to use when searching for LDAP users. The default will usually be appropriate for Active Directory installations. If connecting to an LDAP server with a non-AD schema, this should be replaced with (&(objectClass=inetOrgPerson)(uid={0}). {0} is a special string used to denote where the username fits into the filter. If the LDAP server supports posixGroups, Hadoop can enable the feature by setting the value of this property to ""posixAccount"" and the value of the hadoop.security.group.mapping.ldap.search.filter.group property to ""posixGroup"".",security
hadoop-common,hadoop.security.group.mapping.ldap.search.filter.group,(objectClass=group),An additional filter to use when searching for LDAP groups. This should be changed when resolving groups against a non-Active Directory installation. See the description of hadoop.security.group.mapping.ldap.search.filter.user to enable posixGroups support.,security
hadoop-common,hadoop.security.group.mapping.ldap.search.attr.memberof,,"The attribute of the user object that identifies its group objects. By default, Hadoop makes two LDAP queries per user if this value is empty. If set, Hadoop will attempt to resolve group names from this attribute, instead of making the second LDAP query to get group objects. The value should be 'memberOf' for an MS AD installation.",security
hadoop-common,hadoop.security.group.mapping.ldap.search.attr.member,member,The attribute of the group object that identifies the users that are members of the group. The default will usually be appropriate for any LDAP installation.,security
hadoop-common,hadoop.security.group.mapping.ldap.search.attr.group.name,cn,The attribute of the group object that identifies the group name. The default will usually be appropriate for all LDAP systems.,security
hadoop-common,hadoop.security.group.mapping.ldap.search.group.hierarchy.levels,0,The number of levels to go up the group hierarchy when determining which groups a user is part of. 0 Will represent checking just the group that the user belongs to. Each additional level will raise the time it takes to execute a query by at most hadoop.security.group.mapping.ldap.directory.search.timeout. The default will usually be appropriate for all LDAP systems.,security
hadoop-common,hadoop.security.group.mapping.ldap.posix.attr.uid.name,uidNumber,The attribute of posixAccount to use when groups for membership. Mostly useful for schemas wherein groups have memberUids that use an attribute other than uidNumber.,security
hadoop-common,hadoop.security.group.mapping.ldap.posix.attr.gid.name,gidNumber,The attribute of posixAccount indicating the group id.,security
hadoop-common,hadoop.security.group.mapping.ldap.directory.search.timeout,10000,The attribute applied to the LDAP SearchControl properties to set a maximum time limit when searching and awaiting a result. Set to 0 if infinite wait period is desired. Default is 10 seconds. Units in milliseconds.,reliability
hadoop-common,hadoop.security.group.mapping.providers,,Comma separated of names of other providers to provide user to group mapping. Used by CompositeGroupsMapping.,security
hadoop-common,hadoop.security.group.mapping.providers.combined,TRUE,"true or false to indicate whether groups from the providers are combined or not. The default value is true. If true, then all the providers will be tried to get groups and all the groups are combined to return as the final results. Otherwise, providers are tried one by one in the configured list order, and if any groups are retrieved from any provider, then the groups will be returned without trying the left ones.",security
hadoop-common,hadoop.security.service.user.name.key,,"For those cases where the same RPC protocol is implemented by multiple servers, this configuration is required for specifying the principal name to use for the service when the client wishes to make an RPC call.",security
hadoop-common,fs.azure.user.agent.prefix,unknown,"WASB passes User-Agent header to the Azure back-end. The default value contains WASB version, Java Runtime version, Azure Client library version, and the value of the configuration option fs.azure.user.agent.prefix.",manageability
hadoop-common,hadoop.security.uid.cache.secs,14400,This is the config controlling the validity of the entries in the cache containing the userId to userName and groupId to groupName used by NativeIO getFstat().,security
hadoop-common,hadoop.service.shutdown.timeout,30s,"Timeout to wait for each shutdown operation to complete. If a hook takes longer than this time to complete, it will be interrupted, so the service will shutdown. This allows the service shutdown to recover from a blocked operation. Some shutdown hooks may need more time than this, for example when a large amount of data needs to be uploaded to an object store. In this situation: increase the timeout. The minimum duration of the timeout is 1 second, ""1s"".",reliability
hadoop-common,hadoop.rpc.protection,authentication,"A comma-separated list of protection values for secured sasl connections. Possible values are authentication, integrity and privacy. authentication means authentication only and no integrity or privacy; integrity implies authentication and integrity are enabled; and privacy implies all of authentication, integrity and privacy are enabled. hadoop.security.saslproperties.resolver.class can be used to override the hadoop.rpc.protection for a connection at the server side.",security
hadoop-common,hadoop.security.saslproperties.resolver.class,,"SaslPropertiesResolver used to resolve the QOP used for a connection. If not specified, the full set of values specified in hadoop.rpc.protection is used while determining the QOP used for the connection. If a class is specified, then the QOP values returned by the class will be used while determining the QOP used for the connection.",security
hadoop-common,hadoop.security.sensitive-config-keys,secret$ password$ ssl.keystore.pass$ fs.s3.*[Ss]ecret.?[Kk]ey fs.s3a.*.server-side-encryption.key fs.azure.account.key.* credential$ oauth.*token$ hadoop.security.sensitive-config-keys,"A comma-separated or multi-line list of regular expressions to match configuration keys that should be redacted where appropriate, for example, when logging modified properties during a reconfiguration, private credentials should not be logged.",security
hadoop-common,hadoop.workaround.non.threadsafe.getpwuid,TRUE,"Some operating systems or authentication modules are known to have broken implementations of getpwuid_r and getpwgid_r, such that these calls are not thread-safe. Symptoms of this problem include JVM crashes with a stack trace inside these functions. If your system exhibits this issue, enable this configuration parameter to include a lock around the calls as a workaround. An incomplete list of some systems known to have this issue is available at https://wiki.apache.org/hadoop/KnownBrokenPwuidImplementations",reliability
hadoop-common,hadoop.kerberos.kinit.command,kinit,Used to periodically renew Kerberos credentials when provided to Hadoop. The default setting assumes that kinit is in the PATH of users running the Hadoop client. Change this to the absolute path to kinit if this is not the case.,security
hadoop-common,hadoop.kerberos.min.seconds.before.relogin,60,"The minimum time between relogin attempts for Kerberos, in seconds.",reliability
hadoop-common,hadoop.security.auth_to_local,,Maps kerberos principals to local user names,security
hadoop-common,hadoop.token.files,,List of token cache files that have delegation tokens for hadoop service,security
hadoop-common,io.file.buffer.size,4096,"The size of buffer for use in sequence files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",performance
hadoop-common,io.bytes.per.checksum,512,The number of bytes per checksum. Must not be larger than io.file.buffer.size.,performance
hadoop-common,io.skip.checksum.errors,FALSE,"If true, when a checksum error is encountered while reading a sequence file, entries are skipped, instead of throwing an exception.",reliability
hadoop-common,io.compression.codecs,,"A comma-separated list of the compression codec classes that can be used for compression/decompression. In addition to any classes specified with this property (which take precedence), codec classes on the classpath are discovered using a Java ServiceLoader.",performance
hadoop-common,io.compression.codec.bzip2.library,system-native,"The native-code library to be used for compression and decompression by the bzip2 codec. This library could be specified either by by name or the full pathname. In the former case, the library is located by the dynamic linker, usually searching the directories specified in the environment variable LD_LIBRARY_PATH. The value of ""system-native"" indicates that the default system library should be used. To indicate that the algorithm should operate entirely in Java, specify ""java-builtin"".",environment
hadoop-common,io.serializations,"org.apache.hadoop.io.serializer.WritableSerialization, org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization, org.apache.hadoop.io.serializer.avro.AvroReflectSerialization",A list of serialization classes that can be used for obtaining serializers and deserializers.,performance
hadoop-common,io.seqfile.local.dir,${hadoop.tmp.dir}/io/local,The local directory where sequence file stores intermediate data files during merge. May be a comma-separated list of directories on different devices in order to spread disk i/o. Directories that do not exist are ignored.,environment
hadoop-common,io.map.index.skip,0,Number of index entries to skip between each entry. Zero by default. Setting this to values larger than zero can facilitate opening large MapFiles using less memory.,performance
hadoop-common,io.map.index.interval,128,"MapFile consist of two files - data file (tuples) and index file (keys). For every io.map.index.interval records written in the data file, an entry (record-key, data-file-position) is written in the index file. This is to allow for doing binary search later within the index file to look up records by their keys and get their closest positions in the data file.",performance
hadoop-common,fs.defaultFS,file:///,"The name of the default file system. A URI whose scheme and authority determine the FileSystem implementation. The uri's scheme determines the config property (fs.SCHEME.impl) naming the FileSystem implementation class. The uri's authority is used to determine the host, port, etc. for a filesystem.",environment
hadoop-common,fs.default.name,file:///,Deprecated. Use (fs.defaultFS) property instead,environment
hadoop-common,fs.trash.interval,0,"Number of minutes after which the checkpoint gets deleted. If zero, the trash feature is disabled. This option may be configured both on the server and the client. If trash is disabled server side then the client side configuration is checked. If trash is enabled on the server side then the value configured on the server is used and the client configuration value is ignored.",performance
hadoop-common,fs.trash.checkpoint.interval,0,"Number of minutes between trash checkpoints. Should be smaller or equal to fs.trash.interval. If zero, the value is set to the value of fs.trash.interval. Every time the checkpointer runs it creates a new checkpoint out of current and removes checkpoints created more than fs.trash.interval minutes ago.",reliability
hadoop-common,fs.protected.directories,,A comma-separated list of directories which cannot be deleted even by the superuser unless they are empty. This setting can be used to guard important system directories against accidental deletion due to administrator error.,security
hadoop-common,fs.AbstractFileSystem.file.impl,org.apache.hadoop.fs.local.LocalFs,The AbstractFileSystem for file: uris.,manageability
hadoop-common,fs.AbstractFileSystem.har.impl,org.apache.hadoop.fs.HarFs,The AbstractFileSystem for har: uris.,manageability
hadoop-common,fs.AbstractFileSystem.hdfs.impl,org.apache.hadoop.fs.Hdfs,The FileSystem for hdfs: uris.,manageability
hadoop-common,fs.AbstractFileSystem.viewfs.impl,org.apache.hadoop.fs.viewfs.ViewFs,The AbstractFileSystem for view file system for viewfs: uris (ie client side mount table:).,manageability
hadoop-common,fs.viewfs.rename.strategy,SAME_MOUNTPOINT,"Allowed rename strategy to rename between multiple mountpoints. Allowed values are SAME_MOUNTPOINT,SAME_TARGET_URI_ACROSS_MOUNTPOINT and SAME_FILESYSTEM_ACROSS_MOUNTPOINT.",manageability
hadoop-common,fs.AbstractFileSystem.ftp.impl,org.apache.hadoop.fs.ftp.FtpFs,The FileSystem for Ftp: uris.,manageability
hadoop-common,fs.AbstractFileSystem.webhdfs.impl,org.apache.hadoop.fs.WebHdfs,The FileSystem for webhdfs: uris.,manageability
hadoop-common,fs.AbstractFileSystem.swebhdfs.impl,org.apache.hadoop.fs.SWebHdfs,The FileSystem for swebhdfs: uris.,manageability
hadoop-common,fs.ftp.host,0.0.0.0,FTP filesystem connects to this server,environment
hadoop-common,fs.ftp.host.port,21,FTP filesystem connects to fs.ftp.host on this port,environment
hadoop-common,fs.ftp.data.connection.mode,ACTIVE_LOCAL_DATA_CONNECTION_MODE,"Set the FTPClient's data connection mode based on configuration. Valid values are ACTIVE_LOCAL_DATA_CONNECTION_MODE, PASSIVE_LOCAL_DATA_CONNECTION_MODE and PASSIVE_REMOTE_DATA_CONNECTION_MODE.",manageability
hadoop-common,fs.ftp.transfer.mode,BLOCK_TRANSFER_MODE,"Set FTP's transfer mode based on configuration. Valid values are STREAM_TRANSFER_MODE, BLOCK_TRANSFER_MODE and COMPRESSED_TRANSFER_MODE.",manageability
hadoop-common,fs.df.interval,60000,Disk usage statistics refresh interval in msec.,debuggability
hadoop-common,fs.du.interval,600000,File space usage statistics refresh interval in msec.,debuggability
hadoop-common,fs.s3.awsAccessKeyId,,AWS access key ID used by S3 block file system.,security
hadoop-common,fs.s3.awsSecretAccessKey,,AWS secret key used by S3 block file system.,security
hadoop-common,fs.s3.block.size,67108864,Block size to use when writing files to S3.,performance
hadoop-common,fs.s3.buffer.dir,${hadoop.tmp.dir}/s3,Determines where on the local filesystem the s3:/s3n: filesystem should store files before sending them to S3 (or after retrieving them from S3).,environment
hadoop-common,fs.s3.maxRetries,4,"The maximum number of retries for reading or writing files to S3, before we signal failure to the application.",reliability
hadoop-common,fs.s3.sleepTimeSeconds,10,The number of seconds to sleep between each S3 retry.,reliability
hadoop-common,fs.swift.impl,org.apache.hadoop.fs.swift.snative.SwiftNativeFileSystem,The implementation class of the OpenStack Swift Filesystem,manageability
hadoop-common,fs.automatic.close,TRUE,"By default, FileSystem instances are automatically closed at program exit using a JVM shutdown hook. Setting this property to false disables this behavior. This is an advanced option that should only be used by server applications requiring a more carefully orchestrated shutdown sequence.",reliability
hadoop-common,fs.s3n.awsAccessKeyId,,AWS access key ID used by S3 native file system.,security
hadoop-common,fs.s3n.awsSecretAccessKey,,AWS secret key used by S3 native file system.,security
hadoop-common,fs.s3n.block.size,67108864,Block size to use when reading files using the native S3 filesystem (s3n: URIs).,performance
hadoop-common,fs.s3n.multipart.uploads.enabled,FALSE,"Setting this property to true enables multiple uploads to native S3 filesystem. When uploading a file, it is split into blocks if the size is larger than fs.s3n.multipart.uploads.block.size.",performance
hadoop-common,fs.s3n.multipart.uploads.block.size,67108864,The block size for multipart uploads to native S3 filesystem. Default size is 64MB.,performance
hadoop-common,fs.s3n.multipart.copy.block.size,5368709120,The block size for multipart copy in native S3 filesystem. Default size is 5GB.,performance
hadoop-common,fs.s3n.server-side-encryption-algorithm,,"Specify a server-side encryption algorithm for S3. Unset by default, and the only other currently allowable value is AES256.",security
hadoop-common,fs.s3a.access.key,,AWS access key ID used by S3A file system. Omit for IAM role-based or provider-based authentication.,security
hadoop-common,fs.s3a.secret.key,,AWS secret key used by S3A file system. Omit for IAM role-based or provider-based authentication.,security
hadoop-common,fs.s3a.aws.credentials.provider,,"Comma-separated class names of credential provider classes which implement com.amazonaws.auth.AWSCredentialsProvider. These are loaded and queried in sequence for a valid set of credentials. Each listed class must implement one of the following means of construction, which are attempted in order: 1. a public constructor accepting java.net.URI and org.apache.hadoop.conf.Configuration, 2. a public static method named getInstance that accepts no arguments and returns an instance of com.amazonaws.auth.AWSCredentialsProvider, or 3. a public default constructor. Specifying org.apache.hadoop.fs.s3a.AnonymousAWSCredentialsProvider allows anonymous access to a publicly accessible S3 bucket without any credentials. Please note that allowing anonymous access to an S3 bucket compromises security and therefore is unsuitable for most use cases. It can be useful for accessing public data sets without requiring AWS credentials. If unspecified, then the default list of credential provider classes, queried in sequence, is: 1. org.apache.hadoop.fs.s3a.BasicAWSCredentialsProvider: supports static configuration of AWS access key ID and secret access key. See also fs.s3a.access.key and fs.s3a.secret.key. 2. com.amazonaws.auth.EnvironmentVariableCredentialsProvider: supports configuration of AWS access key ID and secret access key in environment variables named AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY, as documented in the AWS SDK. 3. org.apache.hadoop.fs.s3a.SharedInstanceProfileCredentialsProvider: a shared instance of com.amazonaws.auth.InstanceProfileCredentialsProvider from the AWS SDK, which supports use of instance profile credentials if running in an EC2 VM. Using this shared instance potentially reduces load on the EC2 instance metadata service for multi-threaded applications.",security
hadoop-common,fs.s3a.session.token,,"Session token, when using org.apache.hadoop.fs.s3a.TemporaryAWSCredentialsProvider as one of the providers.",security
hadoop-common,fs.s3a.security.credential.provider.path,,"Optional comma separated list of credential providers, a list which is prepended to that set in hadoop.security.credential.provider.path",security
hadoop-common,fs.s3a.connection.maximum,15,Controls the maximum number of simultaneous connections to S3.,performance
hadoop-common,fs.s3a.connection.ssl.enabled,TRUE,Enables or disables SSL connections to S3.,security
hadoop-common,fs.s3a.endpoint,,"AWS S3 endpoint to connect to. An up-to-date list is provided in the AWS Documentation: regions and endpoints. Without this property, the standard region (s3.amazonaws.com) is assumed.",environment
hadoop-common,fs.s3a.path.style.access,FALSE,Enable S3 path style access ie disabling the default virtual hosting behaviour. Useful for S3A-compliant storage providers as it removes the need to set up DNS for virtual hosting.,security
hadoop-common,fs.s3a.proxy.host,,Hostname of the (optional) proxy server for S3 connections.,environment
hadoop-common,fs.s3a.proxy.port,,"Proxy server port. If this property is not set but fs.s3a.proxy.host is, port 80 or 443 is assumed (consistent with the value of fs.s3a.connection.ssl.enabled).",environment
hadoop-common,fs.s3a.proxy.username,,Username for authenticating with proxy server.,security
hadoop-common,fs.s3a.proxy.password,,Password for authenticating with proxy server.,security
hadoop-common,fs.s3a.proxy.domain,,Domain for authenticating with proxy server.,security
hadoop-common,fs.s3a.proxy.workstation,,Workstation for authenticating with proxy server.,security
hadoop-common,fs.s3a.attempts.maximum,20,How many times we should retry commands on transient errors.,reliability
hadoop-common,fs.s3a.connection.establish.timeout,5000,Socket connection setup timeout in milliseconds.,reliability
hadoop-common,fs.s3a.connection.timeout,200000,Socket connection timeout in milliseconds.,reliability
hadoop-common,fs.s3a.socket.send.buffer,8192,Socket send buffer hint to amazon connector. Represented in bytes.,performance
hadoop-common,fs.s3a.socket.recv.buffer,8192,Socket receive buffer hint to amazon connector. Represented in bytes.,performance
hadoop-common,fs.s3a.paging.maximum,5000,How many keys to request from S3 when doing directory listings at a time.,performance
hadoop-common,fs.s3a.threads.max,10,The total number of threads available in the filesystem for data uploads *or any other queued filesystem operation*.,performance
hadoop-common,fs.s3a.threads.keepalivetime,60,Number of seconds a thread can be idle before being terminated.,reliability
hadoop-common,fs.s3a.max.total.tasks,5,The number of operations which can be queued for execution,reliability
hadoop-common,fs.s3a.multipart.size,100M,"How big (in bytes) to split upload or copy operations up into. A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.",performance
hadoop-common,fs.s3a.multipart.threshold,2147483647,"How big (in bytes) to split upload or copy operations up into. This also controls the partition size in renamed files, as rename() involves copying the source file(s). A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.",performance
hadoop-common,fs.s3a.multiobjectdelete.enable,TRUE,"When enabled, multiple single-object delete requests are replaced by a single 'delete multiple objects'-request, reducing the number of requests. Beware: legacy S3-compatible object stores might not support this request.",performance
hadoop-common,fs.s3a.acl.default,,"Set a canned ACL for newly created and copied objects. Value may be Private, PublicRead, PublicReadWrite, AuthenticatedRead, LogDeliveryWrite, BucketOwnerRead, or BucketOwnerFullControl.",security
hadoop-common,fs.s3a.multipart.purge,FALSE,"True if you want to purge existing multipart uploads that may not have been completed/aborted correctly. The corresponding purge age is defined in fs.s3a.multipart.purge.age. If set, when the filesystem is instantiated then all outstanding uploads older than the purge age will be terminated -across the entire bucket. This will impact multipart uploads by other applications and users. so should be used sparingly, with an age value chosen to stop failed uploads, without breaking ongoing operations.",reliability
hadoop-common,fs.s3a.multipart.purge.age,86400,Minimum age in seconds of multipart uploads to purge.,reliability
hadoop-common,fs.s3a.server-side-encryption-algorithm,,"Specify a server-side encryption algorithm for s3a: file system. Unset by default. It supports the following values: 'AES256' (for SSE-S3), 'SSE-KMS' and 'SSE-C'.",security
hadoop-common,fs.s3a.server-side-encryption.key,,"Specific encryption key to use if fs.s3a.server-side-encryption-algorithm has been set to 'SSE-KMS' or 'SSE-C'. In the case of SSE-C, the value of this property should be the Base64 encoded key. If you are using SSE-KMS and leave this property empty, you'll be using your default's S3 KMS key, otherwise you should set this property to the specific KMS key id.",security
hadoop-common,fs.s3a.signing-algorithm,,Override the default signing algorithm so legacy implementations can still be used,security
hadoop-common,fs.s3a.block.size,32M,"Block size to use when reading files using s3a: file system. A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.",performance
hadoop-common,fs.s3a.buffer.dir,${hadoop.tmp.dir}/s3a,Comma separated list of directories that will be used to buffer file uploads to.,environment
hadoop-common,fs.s3a.fast.upload,FALSE,Use the incremental block-based fast upload mechanism with the buffering mechanism set in fs.s3a.fast.upload.buffer.,performance
hadoop-common,fs.s3a.fast.upload.buffer,disk,"The buffering mechanism to use when using S3A fast upload (fs.s3a.fast.upload=true). Values: disk, array, bytebuffer. This configuration option has no effect if fs.s3a.fast.upload is false. ""disk"" will use the directories listed in fs.s3a.buffer.dir as the location(s) to save data prior to being uploaded. ""array"" uses arrays in the JVM heap ""bytebuffer"" uses off-heap memory within the JVM. Both ""array"" and ""bytebuffer"" will consume memory in a single stream up to the number of blocks set by: fs.s3a.multipart.size * fs.s3a.fast.upload.active.blocks. If using either of these mechanisms, keep this value low The total number of threads performing work across all threads is set by fs.s3a.threads.max, with fs.s3a.max.total.tasks values setting the number of queued work items.",performance
hadoop-common,fs.s3a.fast.upload.active.blocks,4,"Maximum Number of blocks a single output stream can have active (uploading, or queued to the central FileSystem instance's pool of queued operations. This stops a single stream overloading the shared thread pool.",performance
hadoop-common,fs.s3a.readahead.range,64K,"Bytes to read ahead during a seek() before closing and re-opening the S3 HTTP connection. This option will be overridden if any call to setReadahead() is made to an open stream. A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.",performance
hadoop-common,fs.s3a.user.agent.prefix,,"Sets a custom value that will be prepended to the User-Agent header sent in HTTP requests to the S3 back-end by S3AFileSystem. The User-Agent header always includes the Hadoop version number followed by a string generated by the AWS SDK. An example is ""User-Agent: Hadoop 2.8.0, aws-sdk-java/1.10.6"". If this optional property is set, then its value is prepended to create a customized User-Agent. For example, if this configuration property was set to ""MyApp"", then an example of the resulting User-Agent would be ""User-Agent: MyApp, Hadoop 2.8.0, aws-sdk-java/1.10.6"".",manageability
hadoop-common,fs.s3a.metadatastore.authoritative,FALSE,"When true, allow MetadataStore implementations to act as source of truth for getting file status and directory listings. Even if this is set to true, MetadataStore implementations may choose not to return authoritative results. If the configured MetadataStore does not support being authoritative, this setting will have no effect.",security
hadoop-common,fs.s3a.metadatastore.impl,org.apache.hadoop.fs.s3a.s3guard.NullMetadataStore,"Fully-qualified name of the class that implements the MetadataStore to be used by s3a. The default class, NullMetadataStore, has no effect: s3a will continue to treat the backing S3 service as the one and only source of truth for file and directory metadata.",manageability
hadoop-common,fs.s3a.s3guard.cli.prune.age,86400000,Default age (in milliseconds) after which to prune metadata from the metadatastore when the prune command is run. Can be overridden on the command-line.,reliability
hadoop-common,fs.s3a.impl,org.apache.hadoop.fs.s3a.S3AFileSystem,The implementation class of the S3A Filesystem,manageability
