idx,name,description,label,software
84,interval,Interval in milliseconds in which heartbeats are sent.,reliability,aerospike
85,mcast-ttl,TTL for multicast packets.,reliability,aerospike
86,mesh-seed-address-port,Mesh address (host-name or IP) and port info for seed server(s). ,environment,aerospike
87,multicast-group,IP address for cluster-state heartbeat communication over multicast,environment,aerospike
88,port,Port for cluster-state communication (mesh or multicast).,environment,aerospike
89,protocol,Heartbeat protocol version to be used by cluster. ,environment,aerospike
90,timeout,Number of missing heartbeats after which the remote node will be declared dead.,reliability,aerospike
91,port,Port used for info management. ,environment,aerospike
92,access-address,An access address is an IP address that is announced to clients and used by clients for connecting to the cluster.,environment,aerospike
93,address,The IP address at which the server listens for client connections. ,environment,aerospike
94,alternate-access-address,Can be used to choose a specific IP address or DNS name that will be published as an alternate list for clients to connect,environment,aerospike
95,port,The port at which the server listens for client connections.,environment,aerospike
96,tls-name,this parameter specifies which TLS parameters to use for the given context TLS connections. ,security,aerospike
97,tls-port,"Port that is TLS enabled at which the server listens for client connections, heartbeat connections or fabric connections (based on the subcontext this is set at).",environment,aerospike
98,ca-file,Path to the CA file needed for mutual authentication.,environment,aerospike
99,ca-path,Path to the directory of the CA file for mutual authentication. ,environment,aerospike
100,cert-blacklist,Path to the file containing rogue certificates serial numbers. ,environment,aerospike
101,cert-file,Path to the TLS certificate file when TLS is enabled.,environment,aerospike
102,key-file,Path to the key file when TLS is enabled. ,security,aerospike
103,key-file-password,Password for the key-file . ,security,aerospike
104,enable-security,Enable access control. ,security,aerospike
105,privilege-refresh-period,Frequency in seconds with which the node verifies credentials and permissions for active client connections.,security,aerospike
106,polling-period,How frequently (in seconds) to query the LDAP server for user group membership information. ,security,aerospike
107,query-base-dn,Distinguished name of the LDAP directory entry at which to begin the search when querying for a user's group membership information.,environment,aerospike
108,query-user-dn,Distinguished name of the user designated for user group membership queries.,environment,aerospike
109,server,Name of the LDAP server to use. ,environment,aerospike
110,session-ttl,"Lifetime (in seconds) of an access token. A TCP connection attempt with an expired token will fail, and the clien must log in again to get a fresh token. ",reliability,aerospike
111,tls-ca-file,Path to the CA certificate file used for validating TLS connections to the LDAP server.,security,aerospike
112,token-hash-method,Hash algorithm to use when generating the HMAC for access tokens. ,security,aerospike
113,report-authentication,Set to true to report successful authentications in aerospike.log.,debuggability,aerospike
114,report-data-op,Set to true to report on data transactions for a namespace (and optionally a set).,debuggability,aerospike
115,report-sys-admin,Set to true to report systems administration operations,security,aerospike
116,report-user-admin,Set to true to report successful user administration operations ,security,aerospike
117,report-violation,Set to true to report security violations ,security,aerospike
118,report-authentication,Set to true to report successful authentications in the syslog file.,debuggability,aerospike
119,report-user-admin,Set to true to report successful user administration operations in the syslog file.,debuggability,aerospike
120,report-violation,Set to true to report security violations in the syslog file.,security,aerospike
121,advertise-ipv6,Requires heartbeat v3. Set to true in order enable IPv6.,environment,aerospike
122,batch-index-threads,Number of batch index response worker threads. ,performance,aerospike
123,batch-max-buffers-per-queue,Number of 128 KiB response buffers allowed in each batch index queue before it is marked as full. ,performance,aerospike
124,batch-max-requests,Max number of keys allowed per node.,reliability,aerospike
125,enable-health-check,Monitors the health of a cluster and attempts to idendity potential outlier nodes. ,reliability,aerospike
126,feature-key-file,Location of the digitally signed feature key file containing the features that are enabled,security,aerospike
127,hist-track-back,Total time span in seconds over which to cache data.,performance,aerospike
128,info-threads,Number of threads to create to process info requests.,performance,aerospike
129,log-local-time,Set this configuration to true to set logs to have local time stamp ,debuggability,aerospike
130,log-millis,Set this to true in order to get millisecond timestamps in the log file.,others,aerospike
131,migrate-fill-delay,Number of seconds to delay before starting 'fill' migrations. ,reliability,aerospike
132,migrate-threads,Number of threads per server allocated for data migration.,performance,aerospike
133,min-cluster-size,The minimum number of nodes required for a cluster to form. ,performance,aerospike
134,nsup-delete-sleep,Number of microseconds to sleep between generating delete transactions.,reliability,aerospike
135,nsup-delete-sleep,The interval (secs) at which expiration/eviction thread (namespace supervisor) wakes up.,reliability,aerospike
136,cluster_name,The name of the cluster. This is mainly used to prevent machines in one logical cluster from joining another.,others,cassandra
137,num_tokens,"This defines the number of tokens randomly assigned to this node on the ring The more tokens, relative to other nodes, the larger the proportion of data that this node will store. ",performance,cassandra
138,allocate_tokens_for_keyspace,Triggers automatic allocation of num_tokens tokens for this node. The allocation algorithm attempts to choose tokens in a way that optimizes replicated load over the nodes in the datacenter for the replication strategy used by the specified keyspace.,performance,cassandra
139,initial_token,"initial_token allows you to specify tokens manually. While you can use it with vnodes (num_tokens > 1, above) in which case you should provide a comma-separated list it's primarily used when adding nodes to legacy clusters that do not have vnodes enabled.",others,cassandra
140,hinted_handoff_enabled,"If a write is made and a replica node for the key is down (and hinted_handoff_enabled == true), Cassandra will write a hint.",reliability,cassandra
141,hinted_handoff_disabled_datacenters,"When hinted_handoff_enabled is true, a black list of data centers that will not perform hinted handoff",reliability,cassandra
142,max_hint_window_in_ms,"this defines the maximum amount of time a dead host will have hints generated. After it has been dead this long, new hints for it will not be created until it has been seen alive and gone down again.",reliability,cassandra
143,hinted_handoff_throttle_in_kb,"Maximum throttle in KBs per second, per delivery thread. This will be reduced proportionally to the number of nodes in the cluster. ",reliability,cassandra
144,max_hints_delivery_threads,"Number of threads with which to deliver hints; Consider increasing this number when you have multi-dc deployments, since cross-dc handoff tends to be slower",performance,cassandra
145,hints_directory,"Directory where Cassandra should store hints. If not set, the default directory is $CASSANDRA_HOME/data/hints.",environment,cassandra
146,hints_flush_period_in_ms,How often hints should be flushed from the internal buffers to disk. Will not trigger fsync.,reliability,cassandra
147,max_hints_file_size_in_mb,"Maximum size for a single hints file, in megabytes.",reliability,cassandra
148,hints_compression,"Compression to apply to the hint files. If omitted, hints files will be written uncompressed. LZ4, Snappy, and Deflate compressors are supported.",performance,cassandra
149,batchlog_replay_throttle_in_kb,"Maximum throttle in KBs per second, total. This will be reduced proportionally to the number of nodes in the cluster.",reliability,cassandra
150,authenticator,"Authentication backend, implementing IAuthenticator; used to identify users Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthenticator, PasswordAuthenticator}.",security,cassandra
151,authorizer,"Authorization backend, implementing IAuthorizer; used to limit access/provide permissions Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthorizer, CassandraAuthorizer}.",security,cassandra
152,role_manager,"Part of the Authentication & Authorization backend, implementing IRoleManager; used to maintain grants and memberships between roles. ",security,cassandra
153,roles_validity_in_ms,"Validity period for roles cache (fetching granted roles can be an expensive operation depending on the role manager, CassandraRoleManager is one example) Granted roles are cached for authenticated sessions in AuthenticatedUser and after the period specified here, become eligible for (async) reload.",security,cassandra
154,roles_update_interval_in_ms,"Refresh interval for roles cache (if enabled). After this interval, cache entries become eligible for refresh. Upon next access, an async reload is scheduled and the old value returned until it completes. ",reliability,cassandra
155,permissions_validity_in_ms,"Validity period for permissions cache (fetching permissions can be an expensive operation depending on the authorizer, CassandraAuthorizer is one example).",performance,cassandra
156,permissions_update_interval_in_ms,"Refresh interval for permissions cache (if enabled). After this interval, cache entries become eligible for refresh.",reliability,cassandra
157,credentials_validity_in_ms,"Please note, credentials are cached in their encrypted form, so while activating this cache may reduce the number of queries made to the underlying table, it may not bring a significant reduction in the latency of individual authentication attempts.",security,cassandra
158,credentials_update_interval_in_ms,"Refresh interval for credentials cache (if enabled). After this interval, cache entries become eligible for refresh. ",reliability,cassandra
159,partitioner,The partitioner is responsible for distributing groups of rows (by partition key) across nodes in the cluster. You should leave this alone for new clusters. ,others,cassandra
160,data_file_directories,Directories where Cassandra should store data on disk.,environment,cassandra
161,commitlog_directory,"commit log. when running on magnetic HDD, this should be a separate spindle than the data directories.",debuggability,cassandra
162,cdc_enabled,Enable / disable CDC functionality on a per-node basis.,debuggability,cassandra
163,cdc_raw_directory,CommitLogSegments are moved to this directory on flush if cdc_enabled: true and the segment contains mutations for a CDC-enabled table.,debuggability,cassandra
164,disk_failure_policy,Policy for data disk failures,reliability,cassandra
165,commit_failure_policy,Policy for commit disk failures,reliability,cassandra
166,prepared_statements_cache_size_mb,Maximum size of the native protocol prepared statement cache,reliability,cassandra
167,key_cache_size_in_mb,"The key cache is fairly tiny for the amount of time it saves, so it's worthwhile to use it at large numbers. The row cache saves even more time, but must contain the entire row, so it is extremely space-intensive. ",performance,cassandra
168,key_cache_save_period,"Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache. Row cache saving is much more expensive and has limited use.",performance,cassandra
169,key_cache_keys_to_save,"Number of keys from the key cache to save Disabled by default, meaning all keys are going to be saved",performance,cassandra
170,row_cache_class_name,Row cache implementation class name.,performance,cassandra
171,row_cache_size_in_mb,Maximum size of the row cache in memory. ,performance,cassandra
172,row_cache_save_period,"Duration in seconds after which Cassandra should save the row cache.  Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache. Row cache saving is much more expensive and has limited use.",performance,cassandra
173,row_cache_keys_to_save,"Number of keys from the row cache to save. Specify 0 (which is the default), meaning all keys are going to be saved",performance,cassandra
174,counter_cache_size_in_mb,Maximum size of the counter cache in memory.,performance,cassandra
175,counter_cache_save_period,Duration in seconds after which Cassandra should save the counter cache (keys only). Caches are saved to saved_caches_directory as specified in this configuration file.,performance,cassandra
176,counter_cache_keys_to_save,"Number of keys from the counter cache to save Disabled by default, meaning all keys are going to be saved",performance,cassandra
177,saved_caches_directory,"saved caches If not set, the default directory is $CASSANDRA_HOME/data/saved_caches.",environment,cassandra
178,commitlog_sync,This window should be kept short because the writer threads will be unable to do extra work while waiting.,debuggability,cassandra
179,commitlog_segment_size_in_mb,"The size of the individual commitlog file segments. A commitlog segment may be archived, deleted, or recycled once all the data in it (potentially from each columnfamily in the system) has been flushed to sstables.",debuggability,cassandra
180,commitlog_compression,"Compression to apply to the commit log. If omitted, the commit log will be written uncompressed.",performance,cassandra
181,concurrent_reads,concurrent_reads should be set to (16 * number_of_drives) in order to allow the operations to enqueue low enough in the stack that the OS and drives can reorder them.,performance,cassandra
182,concurrent_writes,"since writes are almost never IO bound, the ideal number of concurrent_writes is dependent on the number of cores in your system; (8 * number_of_cores) is a good rule of thumb.",performance,cassandra
183,concurrent_materialized_view_writes,"For materialized view writes, as there is a read involved, so this should be limited by the less of concurrent reads or concurrent writes.",performance,cassandra
184,file_cache_size_in_mb,Maximum memory to use for sstable chunk cache and buffer pooling.,performance,cassandra
185,memtable_heap_space_in_mb,"Total permitted memory to use for memtables. Cassandra will stop accepting writes when the limit is exceeded until a flush completes, and will trigger a flush based on memtable_cleanup_threshold ",reliability,cassandra
186,memtable_cleanup_threshold,"Ratio of occupied non-flushing memtable size to total permitted size that will trigger a flush of the largest memtable. Larger mct will mean larger flushes and hence less compaction, but also less concurrent flush activity which can make it difficult to keep your disks fed under heavy write load.",reliability,cassandra
187,memtable_allocation_type,Specify the way Cassandra allocates and manages memtable memory. ,performance,cassandra
188,commitlog_total_space_in_mb,Total space to use for commit logs on disk.,debuggability,cassandra
189,memtable_flush_writers,This sets the number of memtable flush writer threads per disk as well as the total number of memtables that can be flushed concurrently. These are generally a combination of compute and IO bound.,performance,cassandra
190,cdc_total_space_in_mb,Total space to use for change-data-capture logs on disk.,debuggability,cassandra
191,cdc_free_space_check_interval_ms,"When we hit our cdc_raw limit and the CDCCompactor is either running behind or experiencing backpressure, we check at the following interval to see if any new space for cdc-tracked tables has been made available.",reliability,cassandra
192,index_summary_capacity_in_mb,A fixed memory pool size in MB for for SSTable index summaries. ,performance,cassandra
193,index_summary_resize_interval_in_minutes,How frequently index summaries should be resampled. This is done periodically to redistribute memory from the fixed-size pool to sstables proportional their recent read rates.,performance,cassandra
194,trickle_fsync,"Whether to, when doing sequential writing, fsync() at intervals in order to force the operating system to flush the dirty buffers. Enable this to avoid sudden dirty buffer flushing from impacting read latencies. ",reliability,cassandra
195,storage_port,"TCP port, for commands and data For security reasons, you should not expose this port to the internet. Firewall it if needed.",security,cassandra
196,ssl_storage_port,"SSL port, for encrypted communication. ",security,cassandra
197,listen_address,Address or interface to bind to and tell other Cassandra nodes to connect to. You _must_ change this if you want multiple nodes to be able to communicate!,environment,cassandra
198,listen_interface,"Set listen_address OR listen_interface, not both. Interfaces must correspond to a single address, IP aliasing is not supported.",environment,cassandra
199,listen_interface_prefer_ipv6,If you choose to specify the interface by name and the interface has an ipv4 and an ipv6 address you can specify which should be chosen using listen_interface_prefer_ipv6.,environment,cassandra
200,broadcast_address,Address to broadcast to other Cassandra nodes Leaving this blank will set it to the same value as listen_address,environment,cassandra
201,listen_on_broadcast_address,"When using multiple physical network interfaces, set this to true to listen on broadcast_address in addition to the listen_address, allowing nodes to communicate in both interfaces. ",environment,cassandra
202,internode_authenticator,"Internode authentication backend, implementing IInternodeAuthenticator; used to allow/disallow connections from peer nodes.",security,cassandra
203,start_native_transport,Whether to start the native transport server.,others,cassandra
204,native_transport_port,"port for the CQL native transport to listen for clients on For security reasons, you should not expose this port to the internet. ",security,cassandra
205,native_transport_port_ssl,Setting native_transport_port_ssl to a different value from native_transport_port will use encryption for native_transport_port_ssl while keeping native_transport_port unencrypted.,security,cassandra
206,native_transport_max_threads,The maximum threads for handling requests (note that idle threads are stopped after 30 seconds so there is not corresponding minimum setting).,performance,cassandra
207,native_transport_max_frame_size_in_mb,The maximum size of allowed frame. Frame (requests) larger than this will be rejected as invalid.,reliability,cassandra
208,native_transport_max_concurrent_connections,The maximum number of concurrent client connections. ,reliability,cassandra
209,native_transport_max_concurrent_connections_per_ip,The maximum number of concurrent client connections per source ip.,reliability,cassandra
210,rpc_address,The address or interface to bind the native transport server to.,environment,cassandra
211,rpc_interface,"Set rpc_address OR rpc_interface, not both. Interfaces must correspond to a single address, IP aliasing is not supported.",environment,cassandra
212,rpc_interface_prefer_ipv6,If you choose to specify the interface by name and the interface has an ipv4 and an ipv6 address you can specify which should be chosen using rpc_interface_prefer_ipv6.,others,cassandra
213,broadcast_rpc_address,RPC address to broadcast to drivers and other Cassandra nodes. ,environment,cassandra
214,rpc_keepalive,enable or disable keepalive on rpc/native connections,others,cassandra
215,incremental_backups,Set to true to have Cassandra create a hard link to each sstable flushed or streamed locally in a backups/ subdirectory of the keyspace data. Removing these links is the operator's responsibility.,reliability,cassandra
216,snapshot_before_compaction,"Whether or not to take a snapshot before each compaction. Be careful using this option, since Cassandra won't clean up the snapshots for you. Mostly useful if you're paranoid when there is a data format change.",reliability,cassandra
217,auto_snapshot,Whether or not a snapshot is taken of the data before keyspace truncation or dropping of column families. ,reliability,cassandra
218,column_index_size_in_kb,Granularity of the collation index of rows within a partition. ,others,cassandra
219,column_index_cache_size_in_kb,Per sstable indexed key cache entries (the collation index in memory mentioned above) exceeding this size will not be held on heap.,performance,cassandra
220,compaction_throughput_mb_per_sec,Throttles compaction to the given total throughput across the entire system.,performance,cassandra
221,sstable_preemptive_open_interval_in_mb,"This helps to smoothly transfer reads between the sstables, reducing page cache churn and keeping hot rows hot",performance,cassandra
222,read_request_timeout_in_ms,How long the coordinator should wait for read operations to complete,reliability,cassandra
223,range_request_timeout_in_ms,How long the coordinator should wait for seq or index scans to complete,reliability,cassandra
224,write_request_timeout_in_ms,How long the coordinator should wait for writes to complete,reliability,cassandra
225,counter_write_request_timeout_in_ms,How long the coordinator should wait for counter writes to complete,reliability,cassandra
226,cas_contention_timeout_in_ms,How long a coordinator should continue to retry a CAS operation that contends with other proposals for the same row,reliability,cassandra
227,truncate_request_timeout_in_ms,How long the coordinator should wait for truncates to complete ,reliability,cassandra
228,request_timeout_in_ms,"The default timeout for other, miscellaneous operations",reliability,cassandra
229,slow_query_log_timeout_in_ms,How long before a node logs slow queries. ,reliability,cassandra
230,cross_node_timeout,Enable operation timeout information exchange between nodes to accurately measure request timeouts.,reliability,cassandra
231,endpoint_snitch,Set this to a class that implements IEndpointSnitch.,others,cassandra
232,dynamic_snitch_update_interval_in_ms,controls how often to perform the more expensive part of host score calculation,performance,cassandra
233,dynamic_snitch_reset_interval_in_ms,"controls how often to reset all host scores, allowing a bad host to possibly recover",reliability,cassandra
234,internode_compression,internode_compression controls whether traffic between nodes is compressed,performance,cassandra
235,inter_dc_tcp_nodelay,"Enable or disable tcp_nodelay for inter-dc communication. Disabling it will result in larger (but fewer) network packets being sent, reducing overhead from the TCP protocol itself, at the cost of increasing latency if you block for cross-datacenter responses",performance,cassandra
236,tracetype_query_ttl,TTL for different trace types used during logging of the repair process.,reliability,cassandra
237,enable_user_defined_functions,"If unset, all GC Pauses greater than gc_log_threshold_in_ms will log at INFO level UDFs (user defined functions) are disabled by default.",debuggability,cassandra
238,enable_scripted_user_defined_functions,Enables scripted UDFs (JavaScript UDFs).,others,cassandra
239,transparent_data_encryption_options,Enables encrypting data at-rest (on disk). ,security,cassandra
240,batch_size_warn_threshold_in_kb,Log WARN on any multiple-partition batch size exceeding this value.,debuggability,cassandra
241,batch_size_fail_threshold_in_kb,Fail any multiple-partition batch exceeding this value.,reliability,cassandra
242,compaction_large_partition_warning_threshold_mb,Log a warning when compacting partitions larger than this value,debuggability,cassandra
243,gc_log_threshold_in_ms,GC Pauses greater than 200 ms will be logged at INFO level This threshold can be adjusted to minimize logging if necessary,debuggability,cassandra
244,gc_warn_threshold_in_ms,GC Pauses greater than gc_warn_threshold_in_ms will be logged at WARN level ,debuggability,cassandra
245,max_value_size_in_mb,Maximum size of any value in SSTables. Safety measure to detect SSTable corruption early. ,security,cassandra
246,back_pressure_enabled,"Back-pressure settings # If enabled, the coordinator will apply the back-pressure strategy specified below to each mutation sent to replicas, with the aim of reducing pressure on overloaded replicas.",performance,cassandra
247,otc_coalescing_window_us,How many microseconds to wait for coalescing. ,reliability,cassandra
248,otc_coalescing_enough_coalesced_messages,Do not try to coalesce messages if we already got that many messages. This should be more than 2 and less than 128.,others,cassandra
249,otc_backlog_expiration_interval_ms,How many milliseconds to wait between two expiration runs on the backlog (queue) of the OutboundTcpConnection.,reliability,cassandra
250,ideal_consistency_level,Track a metric per keyspace indicating whether replication achieved the ideal consistency level for writes without timing out. This is different from the consistency level requested by each write which may be lower in order to facilitate availability.,reliability,cassandra
251,hadoop.common.configuration.version,version of this configuration file,environment,hadoop-common
252,hadoop.tmp.dir,A base for other temporary directories.,environment,hadoop-common
253,io.native.lib.available,Controls whether to use native libraries for bz2 and zlib compression codecs or not. The property does not control any other native libraries.,environment,hadoop-common
254,hadoop.http.filter.initializers,"A comma separated list of class names. Each class in the list must extend org.apache.hadoop.http.FilterInitializer. The corresponding Filter will be initialized. Then, the Filter will be applied to all user facing jsp and servlet web pages. The ordering of the list defines the ordering of the filters.",others,hadoop-common
255,hadoop.security.authorization,Is service-level authorization enabled?,security,hadoop-common
256,hadoop.security.instrumentation.requires.admin,"Indicates if administrator ACLs are required to access instrumentation servlets (JMX, METRICS, CONF, STACKS).",security,hadoop-common
257,hadoop.security.authentication,"Possible values are simple (no authentication), and kerberos",security,hadoop-common
258,hadoop.security.group.mapping,"Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used. This implementation shells out to the Linux/Unix environment with the bash -c groups command to resolve a list of groups for a user.",security,hadoop-common
259,hadoop.security.dns.interface,"The name of the Network Interface from which the service should determine its host name for Kerberos login. e.g. eth2. In a multi-homed environment, the setting can be used to affect the _HOST substitution in the service Kerberos principal. If this configuration value is not set, the service will use its default hostname as returned by InetAddress.getLocalHost().getCanonicalHostName(). Most clusters will not require this setting.",security,hadoop-common
260,hadoop.security.dns.nameserver,The host name or IP address of the name server (DNS) which a service Node should use to determine its own host name for Kerberos Login. Requires hadoop.security.dns.interface. Most clusters will not require this setting.,environment,hadoop-common
261,hadoop.security.dns.log-slow-lookups.enabled,Time name lookups (via SecurityUtil) and log them if they exceed the configured threshold.,security,hadoop-common
262,hadoop.security.dns.log-slow-lookups.threshold.ms,"If slow lookup logging is enabled, this threshold is used to decide if a lookup is considered slow enough to be logged.",security,hadoop-common
263,hadoop.security.groups.cache.secs,"This is the config controlling the validity of the entries in the cache containing the user->group mapping. When this duration has expired, then the implementation of the group mapping provider is invoked to get the groups of the user and then cached back.",security,hadoop-common
